what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517325484863
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1517325484873
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517325484881
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1517325484895
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517325484904
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517325485236
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517325486329
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1517325486340
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1517325493749
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517325495221
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517325506377
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517325507292
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517325508908
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517325509063
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517325509674
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517325510975
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517325513275
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517325519505
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517325519633
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517325520638
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517325524399
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517325526881
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1517325527416
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1517325532548
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1517325535086
