what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1517228972607
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1517228972608
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517228975683
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1517228977809
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517228980903
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517228985297
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517228987035
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517228990341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517229011132
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517229029533
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517229031825
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517229040104
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517229040433
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517229041037
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517229041212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517229044883
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1517229047568
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1517229047570
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517229048523
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517229050008
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517229062968
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.help.aboutAction",1517229062983
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1517229069800
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517229076767
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1517229077946
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517229083825
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1517229085056
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1517229086617
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517229089174
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517229092015
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1517229098246
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1517229101963
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517229102099
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517229102127
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517229119249
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517229123308
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1517229123340
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517229124499
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1517229127216
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1517229127613
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1517229127627
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1517229143700
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1517229153796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1517229157911
