what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1519306390188
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1519306390188
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1519306390189
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1519306390199
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=0x1001030] return code: 4, 'other error'",1519306393379
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x1001030, /cygdrive/h/Year_3/DSD/system_template_de0/software/Task6Test/Task6Test.elf] return code: 4, 'other error'",1519306397424
error,log,,,"Downloading ELF Process failed",1519306397431
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1519306397510
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1519306400495
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1519306402577
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1519306402601
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1519306404639
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1519306405411
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1519306411537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1519306411692
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1519306424600
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1519306429357
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1519306431974
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=0x1001030] return code: 4, 'other error'",1519306432857
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x1001030, /cygdrive/h/Year_3/DSD/system_template_de0/software/Task6Test/Task6Test.elf] return code: 4, 'other error'",1519306436935
error,log,,,"Downloading ELF Process failed",1519306436941
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1519306437011
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1519306442775
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1519306443846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1519306468177
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1519306468193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1519306470910
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1519306472248
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1519306476811
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1519306480169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1519306482920
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1519306484491
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1519306484520
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1519306487276
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1519306487287
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1519306513760
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1519306567491
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1519306569284
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1519306569603
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1519306570275
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1519306570983
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1519306570993
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1519306571756
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1519306572695
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1519306573992
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1519306574713
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1519306590736
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1519306592027
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1519306593605
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1519306599805
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1519306599852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1519306603789
