what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1520622586534
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1520622588609
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1520622589213
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1520622600645
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1520622602688
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1520622608238
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520622665116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520622667294
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520622667617
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520622872747
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520622873175
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520623146369
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520623147472
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520623202651
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1520623203857
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520623205639
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520623206859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520623215513
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520623218799
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520623223503
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520623225271
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520623225454
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520623231691
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1520623231703
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1520623247716
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1520623248835
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1520623252709
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1520623258002
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1520623259846
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520623261411
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520623261571
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520623262185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520623262487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520623263930
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520623270062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520623270107
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520623274175
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520623296964
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520623307506
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1520623311442
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1520623313477
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1520623318901
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1520623335547
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1520623348790
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1520623349306
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1520623350487
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1520623355556
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1520623356348
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1520623365481
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1520623367567
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1520623373102
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1520623386219
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1520623412026
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1520623420082
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1520623422118
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1520623427643
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520623439985
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520623441053
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520623441475
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520623482056
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1520623483227
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520623508795
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520623513889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520623514142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520623517311
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520623975841
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520623977635
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520624008817
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520624009948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520624010895
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520624014003
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520624015340
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1520624016461
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520624018029
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520624019372
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520624029587
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520624033066
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520624072768
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520624092439
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520624106229
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1520624111632
